C5, 38.50, 90.50, 90.00, 22n, C0805
C6, 42.00, 91.00, 0.00, 22u, C0805
C7, 42.00, 88.50, 0.00, 22u, C0805
C8, 36.00, 94.50, 180.00, 10u/25V, C0805
L1, 51.15, 91.80, 0.00, SRR1260-4R7Y, SRR12604R7Y
R13, 36.50, 87.00, 180.00, 110k, R0805
R14, 32.00, 86.50, 135.00, 15k, R0805
R15, 31.00, 92.00, 0.00, 100k, R0805
R4, 35.53, 65.00, 90.00, 1K, R0805
R5, 39.47, 65.00, 270.00, 2K, R0805
U$9, 35.00, 90.50, 0.00, SD8942, SD8942
