2770,1829.57996
2771,1827.53503
2772,1829.69495
2773,1832.39502
2774,1827.84497
2775,1829.08496
2776,1827.22998
2777,1827.96497
2778,1828.51001
2779,1828.94495
2780,1831.29004
2781,1827.30005
2782,1826.745
2783,1820.69995
2784,1836.42505
2785,1824.29004
2786,1818.875
2787,1808.25
2788,1834.39001
2789,1819.82495
2790,1820.57996
2791,1824.48499
2792,1847.93005
2793,1818.08496
2794,1828.71997
2795,1830.91504
2796,1834.08496
2797,1819.98499
2798,1820.04004
2799,1820.93005
2800,1819.73499
2801,1813.97498
2802,1806.57495
2803,1845.30005
2804,1828.06494
2805,1825.61499
2806,1829.98999
2807,1829.34497
2808,1830.18994
2809,1830.16003
2810,1830.42505
2811,1829.47498
2812,1829.32996
2813,1829.20496
2814,1830.5
2815,1830.31006
2816,1829.81006
2817,1828.42004
2818,1829.62
2819,1829.22998
2820,1831.43506
