5,27.70861,36.26433,1831.98999,0,676.48499,0
6,27.70325,36.2518,1829.13,0,675.56,0
7,27.70765,36.17758,1829.46497,0,675.57501,0
8,27.72095,36.04825,1830.04004,0,675.54999,0
9,27.72841,35.95522,1831.56006,0,675.34497,0
10,27.72154,35.91626,1830.52002,0,675.52002,0
11,27.71586,35.88797,1830.88,0,675.56,0
12,27.71912,35.85037,1829.505,0,675.64001,0
13,27.71891,35.85228,1831.53003,0,676.11499,0
14,27.71329,35.83672,1828.59497,0,676.64001,1
15,27.76796,35.90796,1830.35999,0,698.87,1
16,27.8184,36.03489,1832.70496,0,1026.94495,1
17,27.88081,36.07378,1830.30005,0,1009.245,0
18,27.89068,35.55826,1832.65503,0,1009.75,1
19,27.87092,35.65555,1830.11499,0,1024.06995,0
20,27.86208,35.75708,1832.82495,0,1046.08997,0
21,27.85285,35.85304,1829.67505,0,1004.64001,0
22,27.85538,35.81248,1830.46497,0,1003.54498,1
23,27.85354,35.78327,1828.15503,0,1018.29498,1
24,27.85462,35.80528,1826.33997,0,1014.875,0
