Comment,Designator,Footprint,LCSC Part #
1K,R4,R0805,
2K,R5,R0805,
10u/25V,C8,C0805,
15k,R14,R0805,
22n,C5,C0805,
22u,C6 C7,C0805,
100k,R15,R0805,
110k,R13,R0805,
SD8942,U$9,SD8942,
SRR1260-4R7Y,L1,SRR12604R7Y,
